时间(s),温度(摄氏度)
0,25
0.5,25
1,25
1.5,25
2,25
2.5,25
3,25
3.5,25
4,25
4.5,25
5,25
5.5,25
6,25
6.5,25
7,25
7.5,25
8,25
8.5,25
9,25
9.5,25
10,25
10.5,25
11,25
11.5,25
12,25
12.5,25
13,25
13.5,25
14,25
14.5,25
15,25
15.5,25.0000015164572
16,25.0033247175487
16.5,25.0554946832051
17,25.2533479421574
17.5,25.6653519480795
18,26.3062925585613
18.5,27.1543986315475
19,28.1693369203932
19.5,29.3031756299577
20,30.5061701002696
20.5,31.7296598643071
21,32.9275117184288
21.5,34.0568988362403
22,35.0788389636327
22.5,35.958716138761
23,36.6668951061467
23.5,37.2690464793284
24,37.88963124301
24.5,38.5304685951907
25,39.1923181720553
25.5,39.8760350388981
26,40.5825005850264
26.5,41.3125038781747
27,42.0666132990564
27.5,42.8450777349281
28,43.6477762097196
28.5,44.4742149261181
29,45.3235598907783
29.5,46.1946907429123
30,47.0862634346261
30.5,47.9967729814095
31,48.9246109414959
31.5,49.8681149521305
32,50.8256094652063
32.5,51.7954379281181
33,52.7759872448955
33.5,53.7657056035561
34,54.7631148014357
34.5,55.7668181329083
35,56.7755047825117
35.5,57.7879515267814
36,58.8030224101834
36.5,59.8196669346572
37,60.8369171926987
37.5,61.8538842814803
38,62.8697542592784
38.5,63.8837838436713
39,64.8952960015229
39.5,65.9036755416479
40,66.9083647904081
40.5,67.9088594066921
41,68.9047043744328
41.5,69.8954901968586
42,70.8808493061596
42.5,71.8604526944105
43,72.8340067658444
43.5,73.8012504064366
44,74.7619522638603
44.5,75.7159082289324
45,76.6629391084289
45.5,77.6028884784575
46,78.5356207072772
46.5,79.4610191364501
47,80.378984409411
47.5,81.289432936893
48,82.192295489092
48.5,83.0875159049639
49,83.9750499095891
49.5,84.8548640311002
50,85.7269346092262
50.5,86.5912468880524
51,87.4477941861304
51.5,88.296577137575
52,89.1376029982711
52.5,89.9708850117657
53,90.79644182985
53.5,91.6142969832317
54,92.4244783980711
54.5,93.2270179544997
55,94.0219510835562
55.5,94.8093163992729
56,95.5891553629155
56.5,96.3615119766306
57,97.1264325039853
57.5,97.883965215097
58,98.634160154243
58.5,99.3770689280225
59,100.112744512303
59.5,100.841241076336
60,101.562613822566
60.5,102.276918840782
61,102.984212975363
61.5,103.684553704514
62,104.377999030425
62.5,105.064607379435
63,105.744437511327
63.5,106.417548436959
64,107.083999343516
64.5,107.743849526724
65,108.397158329418
65.5,109.043985085907
66,109.684389071654
66.5,110.318429457779
67,110.94616526999
67.5,111.567655351544
68,112.182958329893
68.5,112.79213258668
69,113.395236230815
69.5,113.992327074335
70,114.583462610827
70.5,115.168699996174
71,115.748096031423
71.5,116.321707147591
72,116.889589392236
72.5,117.451798417636
73,118.008389470431
73.5,118.559417382605
74,119.104936563679
74.5,119.645000994014
75,120.179664219119
75.5,120.708979344877
76,121.232999033605
76.5,121.751775500867
77,122.265360512981
77.5,122.773805385145
78,123.277160980137
78.5,123.775477707519
79,124.268805523318
79.5,124.75719393012
80,125.240691977551
80.5,125.719348263097
81,126.193210933245
81.5,126.662327684896
82,127.126745767031
82.5,127.586511982611
83,128.041672690675
83.5,128.492273808623
84,128.938360814663
84.5,129.379978750404
85,129.817172223571
85.5,130.249985410853
86,130.678462060832
86.5,131.102645497013
87,131.522578620934
87.5,131.938303915334
88,132.34986344739
88.5,132.757298872002
89,133.160651435113
89.5,133.55996197708
90,133.955270936059
90.5,134.346618351427
91,134.734043867209
91.5,135.117586735537
92,135.497285820098
92.5,135.873179599604
93,136.245306171258
93.5,136.613703254217
94,136.978408193054
94.5,137.339457961214
95,137.696889164459
95.5,138.050738044303
96,138.401040481435
96.5,138.747831999124
97,139.091147766614
97.5,139.431022602496
98,139.767490978061
98.5,140.100587020639
99,140.430344516911
99.5,140.7567969162
100,141.079977333743
100.5,141.39991855394
101,141.71665303357
101.5,142.030212904998
102,142.340629979341
102.5,142.647935749626
103,142.952161393902
103.5,143.253337778349
